symbol,price,price_change,price_percent_change,volume
SXT,91.12 +10.98 (+13.70%),10.98,13.7,
EHC,113.37 +11.96 (+11.79%),11.96,11.79,
AKESF,13.40 +1.40 (+11.67%),1.4,11.67,19269.0
LBRDK,86.23 +8.87 (+11.47%),8.87,11.47,
CHTR,373.65 +38.32 (+11.43%),38.32,11.43,
LBRDA,85.06 +8.56 (+11.19%),8.56,11.19,458750.0
CORZ,8.31 +0.78 (+10.36%),0.78,10.36,
TSLA,284.95 +25.44 (+9.80%),25.44,9.8,
VRSN,272.79 +20.20 (+8.00%),20.2,8.0,
SHECY,14.94 +1.03 (+7.40%),1.03,7.4,45618.0
GSHD,99.54 +6.35 (+6.81%),6.35,6.81,992450.0
PENN,16.15 +1.00 (+6.60%),1.0,6.6,
LOAR,96.99 +5.14 (+5.60%),5.14,5.6,
FIX,397.44 +21.23 (+5.64%),21.23,5.64,
RDDT,118.18 +5.93 (+5.28%),5.93,5.28,
MSTR,368.71 +18.37 (+5.24%),18.37,5.24,
MRX,42.74 +2.06 (+5.06%),2.06,5.06,
ALPMY,10.05 +0.48 (+5.02%),0.48,5.02,23945.0
DAR,31.91 +1.46 (+4.79%),1.46,4.79,
CMG,51.76 +2.22 (+4.48%),2.22,4.48,
FMCKJ,10.76 +0.47 (+4.57%),0.47,4.57,102126.0
CX,5.94 +0.25 (+4.39%),0.25,4.39,
PLTR,112.78 +5.00 (+4.64%),5.0,4.64,
SEM,17.35 +0.77 (+4.64%),0.77,4.64,
CZR,28.44 +1.27 (+4.67%),1.27,4.67,
ZETA,13.12 +0.56 (+4.46%),0.56,4.46,
SMCAY,16.43 +0.73 (+4.65%),0.73,4.65,18656.0
SOFI,12.88 +0.57 (+4.63%),0.57,4.63,
FHI,40.08 +1.78 (+4.66%),1.78,4.66,
BYD,68.88 +2.84 (+4.30%),2.84,4.3,
WING,227.30 +9.71 (+4.46%),9.71,4.46,671090.0
RNECY,6.25 +0.27 (+4.52%),0.27,4.52,89103.0
MBLY,15.14 +0.64 (+4.41%),0.64,4.41,
BE,18.93 +0.80 (+4.38%),0.8,4.38,
RIVN,12.62 +0.53 (+4.38%),0.53,4.38,
FLG,11.73 +0.46 (+4.08%),0.46,4.08,
NVDA,111.01 +4.58 (+4.30%),4.58,4.3,
FNMAS,11.46 +0.49 (+4.47%),0.49,4.47,172180.0
UPST,48.68 +1.97 (+4.22%),1.97,4.22,
ZGN,8.03 +0.34 (+4.42%),0.34,4.42,
DLR,159.92 +6.17 (+4.01%),6.17,4.01,
STRL,151.75 +5.75 (+3.94%),5.75,3.94,797088.0
FSLR,141.86 +5.42 (+3.97%),5.42,3.97,
TNXP,17.82 +0.63 (+3.66%),0.63,3.66,784251.0
FANUY,13.03 +0.49 (+3.91%),0.49,3.91,32417.0
AEIS,100.67 +3.75 (+3.87%),3.75,3.87,405858.0
CFLT,24.13 +0.87 (+3.74%),0.87,3.74,
MRK,82.74 +2.90 (+3.63%),2.9,3.63,
ALNY,251.56 +8.95 (+3.69%),8.95,3.69,814471.0
VRT,87.12 +3.24 (+3.86%),3.24,3.86,
ANET,77.90 +2.61 (+3.47%),2.61,3.47,
HTHIY,26.35 +0.91 (+3.58%),0.91,3.58,38768.0
FTAI,104.84 +3.47 (+3.42%),3.47,3.42,
APP,276.83 +8.95 (+3.34%),8.95,3.34,
GTLB,47.16 +1.49 (+3.26%),1.49,3.26,
GEV,372.44 +11.95 (+3.31%),11.95,3.31,
ABBV,186.17 +5.80 (+3.22%),5.8,3.22,
RNR,235.40 +7.46 (+3.27%),7.46,3.27,906282.0
BROS,63.39 +1.88 (+3.06%),1.88,3.06,
WFRD,42.74 +1.30 (+3.14%),1.3,3.14,
RMBS,50.94 +1.58 (+3.20%),1.58,3.2,922186.0
NXT,43.65 +1.30 (+3.07%),1.3,3.07,
MNDY,274.00 +8.32 (+3.13%),8.32,3.13,615314.0
MU,79.78 +2.36 (+3.05%),2.36,3.05,
CRDO,43.68 +1.29 (+3.04%),1.29,3.04,
SMNNY,13.96 +0.41 (+3.03%),0.41,3.03,26412.0
FTI,28.33 +0.83 (+3.04%),0.83,3.04,
,,,,
