name,price,price_change,price_percent_change,volume
Tivic Health Systems Inc. (TIVC),6.89,3.39,96.86,29500000.0
Oblong Inc. (OBLG),2.8,0.66,30.84,14300000.0
Agenus Inc. (AGEN),3.01,0.7,30.3,1300000.0
Safe Pro Group Inc. (SPAI),3.46,0.76,28.15,124000.0
VCI Global Ltd. (VCIG),3.52,0.68,23.94,667800.0
Portage Biotech Inc. (PRTG),11.2,2.11,23.21,268500.0
NovaGold Resources Inc. (NG),3.83,0.72,23.12,7100000.0
Bitdeer Technologies Group (BTDR),9.32,1.72,22.63,4000000.0
Femto Technologies Inc. (FMTO),7.25,1.25,20.9,1900000.0
60 Degrees Pharmaceuticals Inc. (SXTP),3.79,0.63,19.94,1400000.0
WiMi Hologram Cloud Inc. Cl B (WIMI),5.38,0.88,19.56,915100.0
908 Devices Inc. (MASS),5.72,0.92,19.16,895700.0
TeraWulf Inc. (WULF),2.64,0.4,17.56,32500000.0
Antelope Enterprise Holdings Ltd. (AEHL),3.02,0.44,17.05,199300.0
Hesai Group ADR (HSAI),13.57,1.96,16.88,4600000.0
Cipher Mining Inc. (CIFR),2.73,0.39,16.63,12800000.0
AgapeATP Corp. (ATPC),2.41,0.34,16.43,429500.0
Hertz Global Holdings Inc. (HTZ),9.09,1.26,16.09,35500000.0
LogProstyle Inc. (LGPS),4.0,0.55,15.98,55300.0
Gauzy Ltd. (GAUZ),10.37,1.38,15.35,110500.0
Knightscope Inc. (KSCP),5.31,0.69,14.97,491800.0
Oncology Institute Inc. (TOI),2.74,0.35,14.85,1300000.0
BriaCell Therapeutics Corp. (BCTX),4.81,0.62,14.84,229600.0
CleanSpark Inc. (CLSK),8.56,1.09,14.66,20700000.0
BTC Digital Ltd. (BTCT),3.83,0.48,14.33,475100.0
Eason Technology Ltd. ADR (DXF),8.0,0.95,13.48,78200.0
Equifax Inc. (EFX),244.0,28.71,13.34,630700.0
Amylyx Pharmaceuticals Inc. (AMLX),4.78,0.55,13.0,605800.0
PureCycle Technologies Inc. (PCT),6.26,0.69,12.49,2200000.0
Regulus Therapeutics Inc. (RGLS),2.26,0.25,12.44,263200.0
CuriosityStream Inc. (CURI),3.42,0.37,12.13,196800.0
