symbol,price,price_change,price_percent_change,volume
HTZ,8.22 +2.51 (+43.87%),2.51,43.87,
CAR,84.59 +11.90 (+16.37%),11.9,16.37,
LLY,839.96 +105.06 (+14.30%),105.06,14.3,
DJT,22.04 +2.30 (+11.65%),2.3,11.65,
BMI,201.63 +17.73 (+9.64%),17.73,9.64,634980.0
BHVN,20.37 +1.69 (+9.05%),1.69,9.05,
DJTWW,13.30 +1.07 (+8.75%),1.07,8.75,107110.0
FIS,74.58 +5.94 (+8.65%),5.94,8.65,
GDS,21.47 +1.65 (+8.32%),1.65,8.32,
DLTR,79.14 +5.93 (+8.10%),5.93,8.1,
FIVE,67.53 +4.81 (+7.67%),4.81,7.67,
VIST,47.81 +3.08 (+6.89%),3.08,6.89,
CE,40.09 +2.56 (+6.82%),2.56,6.82,
SMMT,24.61 +1.56 (+6.77%),1.56,6.77,
VAL,31.89 +1.79 (+5.95%),1.79,5.95,
AMX,16.13 +0.90 (+5.91%),0.9,5.91,
TIGO,32.45 +1.80 (+5.87%),1.8,5.87,
VNOM,41.37 +2.29 (+5.86%),2.29,5.86,
W,26.61 +1.47 (+5.85%),1.47,5.85,
OZK,41.63 +2.29 (+5.82%),2.29,5.82,
FANG,137.64 +7.42 (+5.70%),7.42,5.7,
RTO,23.08 +1.24 (+5.68%),1.24,5.68,
NOG,24.19 +1.26 (+5.49%),1.26,5.49,
WFRD,46.68 +2.40 (+5.41%),2.4,5.41,
ELF,52.65 +2.70 (+5.41%),2.7,5.41,
PCVX,30.65 +1.53 (+5.25%),1.53,5.25,
ANF,72.98 +3.61 (+5.20%),3.61,5.2,
HAL,22.53 +1.10 (+5.13%),1.1,5.13,
NE,20.42 +0.99 (+5.10%),0.99,5.1,
SAIA,334.55 +16.05 (+5.04%),16.05,5.04,426910.0
GAP,19.13 +0.90 (+4.94%),0.9,4.94,
FUN,33.40 +1.56 (+4.90%),1.56,4.9,
UAA,5.83 +0.27 (+4.86%),0.27,4.86,
APA,16.11 +0.74 (+4.85%),0.74,4.85,
HP,20.59 +0.94 (+4.78%),0.94,4.78,
UEC,5.05 +0.23 (+4.77%),0.23,4.77,
IONQ,25.74 +1.17 (+4.76%),1.17,4.76,
SMG,52.17 +2.36 (+4.74%),2.36,4.74,
RH,161.13 +7.28 (+4.73%),7.28,4.73,
NEXT,7.80 +0.34 (+4.62%),0.34,4.62,
PR,12.03 +0.53 (+4.61%),0.53,4.61,
JHX,22.48 +0.99 (+4.61%),0.99,4.61,
CERT,14.15 +0.62 (+4.58%),0.62,4.58,
FRO,15.44 +0.67 (+4.54%),0.67,4.54,
DINO,29.03 +1.25 (+4.50%),1.25,4.5,
WHD,37.81 +1.62 (+4.48%),1.62,4.48,
AEO,10.74 +0.46 (+4.47%),0.46,4.47,
ASTS,23.39 +1.00 (+4.47%),1.0,4.47,
TLK,15.29 +0.65 (+4.44%),0.65,4.44,635463.0
VEON,44.32 +1.86 (+4.38%),1.86,4.38,116530.0
HCC,49.35 +2.07 (+4.38%),2.07,4.38,853576.0
ASND,165.05 +6.90 (+4.36%),6.9,4.36,629246.0
CLS,84.04 +3.48 (+4.32%),3.48,4.32,
TSEM,35.47 +1.45 (+4.26%),1.45,4.26,889694.0
ELAN,8.44 +0.34 (+4.20%),0.34,4.2,
CAMT,60.37 +2.42 (+4.18%),2.42,4.18,334121.0
DG,93.07 +3.71 (+4.15%),3.71,4.15,
NKE,55.76 +2.21 (+4.13%),2.21,4.13,
SM,23.03 +0.91 (+4.11%),0.91,4.11,
TREX,55.61 +2.19 (+4.10%),2.19,4.1,
AUR,6.11 +0.24 (+4.09%),0.24,4.09,
STX,75.78 +2.96 (+4.06%),2.96,4.06,
PTEN,6.07 +0.24 (+4.03%),0.24,4.03,
HDB,72.04 +2.78 (+4.01%),2.78,4.01,
ANGPY,6.74 +0.26 (+4.01%),0.26,4.01,31117.0
ODFL,153.75 +5.90 (+3.99%),5.9,3.99,
NOV,12.53 +0.48 (+3.98%),0.48,3.98,
XENE,35.12 +1.35 (+3.98%),1.35,3.98,825775.0
CHRD,94.43 +3.59 (+3.95%),3.59,3.95,767620.0
BBY,61.97 +2.34 (+3.92%),2.34,3.92,
IBN,33.22 +1.25 (+3.91%),1.25,3.91,
VTMX,24.27 +0.91 (+3.90%),0.91,3.9,257556.0
CX,5.40 +0.20 (+3.85%),0.2,3.85,
BAX,28.89 +1.07 (+3.85%),1.07,3.85,
ETSY,44.15 +1.63 (+3.83%),1.63,3.83,
LEVI,14.65 +0.54 (+3.83%),0.54,3.83,
UPST,40.92 +1.50 (+3.81%),1.5,3.81,
FWONA,75.12 +2.75 (+3.79%),2.75,3.79,105088.0
MUR,21.37 +0.78 (+3.79%),0.78,3.79,
FWONK,82.79 +3.02 (+3.79%),3.02,3.79,
CVE,12.10 +0.44 (+3.77%),0.44,3.77,
TTD,50.26 +1.81 (+3.74%),1.81,3.74,
URBN,49.48 +1.78 (+3.73%),1.78,3.73,
ODD,41.95 +1.49 (+3.70%),1.49,3.7,310809.0
MLTX,38.33 +1.35 (+3.67%),1.35,3.67,257070.0
ADM,47.82 +1.69 (+3.66%),1.69,3.66,
APP,238.22 +8.41 (+3.66%),8.41,3.66,
MTH,65.13 +2.29 (+3.64%),2.29,3.64,839969.0
STNE,12.26 +0.43 (+3.63%),0.43,3.63,
KSPI,85.58 +2.99 (+3.62%),2.99,3.62,329281.0
JBHT,129.23 +4.50 (+3.61%),4.5,3.61,
PAC,194.59 +6.77 (+3.60%),6.77,3.6,56629.0
UA,5.47 +0.19 (+3.60%),0.19,3.6,
IX,19.72 +0.68 (+3.57%),0.68,3.57,220894.0
PBR,11.62 +0.40 (+3.57%),0.4,3.57,
CIVI,28.96 +0.98 (+3.50%),0.98,3.5,
SNDR,22.48 +0.76 (+3.50%),0.76,3.5,744097.0
RNA,26.66 +0.90 (+3.49%),0.9,3.49,
GRND,19.58 +0.66 (+3.49%),0.66,3.49,
REZI,15.77 +0.53 (+3.48%),0.53,3.48,
XPO,96.74 +3.25 (+3.48%),3.25,3.48,
BA,161.90 +5.43 (+3.47%),5.43,3.47,
LYSCF,5.67 +0.19 (+3.47%),0.19,3.47,38418.0
DAR,30.80 +1.03 (+3.46%),1.03,3.46,
INSM,72.62 +2.42 (+3.45%),2.42,3.45,
DVN,30.31 +1.01 (+3.45%),1.01,3.45,
SHAK,83.22 +2.77 (+3.44%),2.77,3.44,
AESI,14.13 +0.47 (+3.44%),0.47,3.44,993147.0
EL,54.47 +1.81 (+3.44%),1.81,3.44,
NSA,36.76 +1.22 (+3.43%),1.22,3.43,510608.0
SMFG,13.56 +0.45 (+3.43%),0.45,3.43,
BLDR,116.94 +3.88 (+3.43%),3.88,3.43,
YETI,27.86 +0.92 (+3.42%),0.92,3.42,
DV,12.48 +0.41 (+3.40%),0.41,3.4,
TSRYY,5.49 +0.18 (+3.39%),0.18,3.39,39785.0
RXRX,5.50 +0.18 (+3.38%),0.18,3.38,
BG,78.96 +2.58 (+3.38%),2.58,3.38,
WYNMY,6.45 +0.21 (+3.37%),0.21,3.37,28156.0
TMDX,88.24 +2.86 (+3.35%),2.86,3.35,973247.0
BBWI,28.42 +0.92 (+3.35%),0.92,3.35,
MTDR,41.47 +1.34 (+3.34%),1.34,3.34,
SRRK,30.75 +0.99 (+3.33%),0.99,3.33,923615.0
AFRM,42.11 +1.35 (+3.31%),1.35,3.31,
PRKS,44.38 +1.41 (+3.28%),1.41,3.28,481615.0
OXY,39.71 +1.26 (+3.28%),1.26,3.28,
ASO,37.85 +1.20 (+3.27%),1.2,3.27,
RCI,25.91 +0.82 (+3.27%),0.82,3.27,
LANC,189.03 +5.93 (+3.24%),5.93,3.24,178905.0
KNX,39.39 +1.23 (+3.22%),1.23,3.22,
OMAB,83.53 +2.60 (+3.21%),2.6,3.21,26892.0
AKR,19.92 +0.62 (+3.21%),0.62,3.21,
KR,71.22 +2.21 (+3.20%),2.21,3.2,
NTDOY,18.06 +0.56 (+3.20%),0.56,3.2,293457.0
GGAL,61.95 +1.91 (+3.18%),1.91,3.18,
BPMC,84.71 +2.60 (+3.17%),2.6,3.17,634400.0
CLSK,7.51 +0.23 (+3.16%),0.23,3.16,
DHI,121.25 +3.71 (+3.16%),3.71,3.16,
TIMB,15.37 +0.47 (+3.15%),0.47,3.15,244541.0
CZR,25.53 +0.78 (+3.15%),0.78,3.15,
APLE,11.88 +0.36 (+3.12%),0.36,3.12,
FNB,12.61 +0.38 (+3.11%),0.38,3.11,
MAC,14.68 +0.44 (+3.09%),0.44,3.09,
HBAN,13.68 +0.40 (+3.05%),0.4,3.05,
SOFI,10.98 +0.32 (+3.05%),0.32,3.05,
COP,88.98 +2.62 (+3.03%),2.62,3.03,
CRC,35.68 +1.05 (+3.03%),1.05,3.03,528667.0
KBH,51.67 +1.52 (+3.03%),1.52,3.03,
HOG,22.51 +0.66 (+3.02%),0.66,3.02,
COLD,20.21 +0.59 (+3.01%),0.59,3.01,
LIF,37.39 +1.09 (+3.00%),1.09,3.0,399955.0
,,,,
