,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,HTZ,"Hertz Global Holdings, Inc.",,8.22 +2.51 (+43.87%),2.51,+43.87%,266.908M,12.668M,2.529B,--,+39.66%,
1,CAR,"Avis Budget Group, Inc.",,84.59 +11.90 (+16.37%),11.9,+16.37%,3.388M,1.345M,2.977B,--,-17.14%,
2,LLY,Eli Lilly and Company,,839.96 +105.06 (+14.30%),105.06,+14.30%,10.092M,3.726M,754.275B,71.91,+14.85%,
3,DJT,Trump Media & Technology Group Corp.,,22.04 +2.30 (+11.65%),2.3,+11.65%,12.034M,5.791M,4.862B,--,-37.92%,
4,BMI,"Badger Meter, Inc.",,201.63 +17.73 (+9.64%),17.73,+9.64%,634980,261809,5.93B,44.41,+11.31%,
5,BHVN,Biohaven Ltd.,,20.37 +1.69 (+9.05%),1.69,+9.05%,2.098M,1.178M,2.079B,--,-46.86%,
6,DJTWW,Trump Media & Technology Group Corp.,,13.30 +1.07 (+8.75%),1.07,+8.75%,107110,42642,4.247B,--,+22.46%,
7,FIS,"Fidelity National Information Services, Inc.",,74.58 +5.94 (+8.65%),5.94,+8.65%,8.057M,4.048M,39.504B,52.52,+4.60%,
8,GDS,GDS Holdings Limited,,21.47 +1.65 (+8.32%),1.65,+8.32%,3.221M,3.979M,4.057B,--,+225.80%,
9,DLTR,"Dollar Tree, Inc.",,79.14 +5.93 (+8.10%),5.93,+8.10%,7.226M,4.882M,17.022B,16.39,-34.97%,
10,FIVE,"Five Below, Inc.",,67.53 +4.81 (+7.67%),4.81,+7.67%,2.601M,2.305M,3.717B,14.68,-54.57%,
11,VIST,"Vista Energy, S.A.B. de C.V.",,47.81 +3.08 (+6.89%),3.08,+6.89%,2.035M,1.085M,5.041B,10.33,+9.76%,
12,CE,Celanese Corporation,,40.09 +2.56 (+6.82%),2.56,+6.82%,2.591M,3.804M,4.48B,--,-74.13%,
13,SMMT,Summit Therapeutics Inc.,,24.61 +1.56 (+6.77%),1.56,+6.77%,3.447M,2.943M,18.154B,--,+605.16%,
14,VAL,Valaris Limited,,31.89 +1.79 (+5.95%),1.79,+5.95%,1.36M,2.098M,2.265B,6.23,-53.21%,
15,AMX,"América Móvil, S.A.B. de C.V.",,16.13 +0.90 (+5.91%),0.9,+5.91%,3.225M,2.105M,48.977B,35.07,-12.62%,
16,TIGO,Millicom International Cellular S.A.,,32.45 +1.80 (+5.87%),1.8,+5.87%,1.372M,934280,5.415B,21.93,+59.77%,
17,VNOM,"Viper Energy, Inc.",,41.37 +2.29 (+5.86%),2.29,+5.86%,2.106M,1.934M,9.059B,10.83,+5.70%,
18,W,Wayfair Inc.,,26.61 +1.47 (+5.85%),1.47,+5.85%,5.369M,5.449M,3.378B,--,-51.38%,
19,OZK,Bank OZK,,41.63 +2.29 (+5.82%),2.29,+5.82%,2.707M,1.429M,4.697B,6.78,-7.86%,
